ResponseId,MainBranch,Country,LanguageHaveWorkedWith,OpSysProfessional use
65,I am a developer by profession,France,C;C#;HTML/CSS;Java;JavaScript;PHP;R,Windows;Windows Subsystem for Linux (WSL)
66,I am a developer by profession,India,C#,Windows
67,I am a developer by profession,Brazil,C;C++;Delphi;HTML/CSS;Java;JavaScript,Windows
68,I am a developer by profession,Australia,C#;HTML/CSS;JavaScript;PHP;SQL,Linux-based;macOS;Windows
69,I am a developer by profession,Lithuania,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
70,I am a developer by profession,Uruguay,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,Linux-based
72,I am a developer by profession,Poland,Bash/Shell;C;F#;Groovy;JavaScript;Python,Linux-based;Windows
74,I am a developer by profession,Germany,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,Linux-based;Windows
75,I am a developer by profession,Sweden,C#;HTML/CSS;SQL;TypeScript,Windows
76,I am a developer by profession,Germany,Groovy;Java;Ruby,macOS
77,I am a developer by profession,United States of America,C#;JavaScript;Python;SQL,Windows;Windows Subsystem for Linux (WSL)
79,I am a developer by profession,Serbia,HTML/CSS;JavaScript;PHP,macOS
80,I am a developer by profession,France,Bash/Shell;Clojure;Java;JavaScript;SQL,Linux-based
81,I am a developer by profession,Denmark,Delphi,Windows
82,I am learning to code,Netherlands,Bash/Shell;HTML/CSS;JavaScript,Windows
83,I am a developer by profession,Germany,Java;R,Linux-based
85,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PowerShell;TypeScript,Windows
86,I am a developer by profession,United States of America,Bash/Shell;Java;Python;SQL,Linux-based;Windows
87,None of these,NA,NA,NA
88,I am a developer by profession,Spain,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript,Windows
89,I am a developer by profession,Germany,HTML/CSS;TypeScript,macOS
90,I am a developer by profession,Sweden,C#;C++;PowerShell;Python,Windows
92,I am a developer by profession,France,C#;C++;Delphi;JavaScript,Windows
93,I am a developer by profession,Israel,Bash/Shell;C++;Go;HTML/CSS;Python;R,Linux-based
94,I am a developer by profession,United States of America,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,macOS
95,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Python;R,Linux-based
96,I am a developer by profession,United States of America,Bash/Shell;C;C++;Python,Linux-based;Windows
97,I am a developer by profession,Israel,Go;HTML/CSS;JavaScript;Ruby;Rust;SQL,Linux-based
98,I am a developer by profession,United States of America,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA,Linux-based;Windows
99,I am a developer by profession,Egypt,Swift,macOS;Windows
100,I am a developer by profession,Turkey,C;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,Linux-based
101,I code primarily as a hobby,South Africa,APL;C++;Python,Linux-based
102,I am a developer by profession,Germany,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,macOS
103,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C#;Python;SQL,Windows
104,I am a developer by profession,United States of America,JavaScript;SQL,macOS;Windows
105,I am a developer by profession,Israel,C#;JavaScript;SQL,Windows
106,I am a developer by profession,Italy,Go;HTML/CSS;JavaScript;SQL;TypeScript,Linux-based;macOS
108,I am a developer by profession,United States of America,Python;SQL;VBA,Windows
109,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;SQL,Windows
110,I am a developer by profession,Spain,C#;JavaScript;Kotlin;PowerShell;Rust;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
111,I am learning to code,Ukraine,Go,Linux-based
112,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PowerShell;SQL,Windows
113,I am a developer by profession,Poland,Bash/Shell;PHP;Python;TypeScript,Windows;Windows Subsystem for Linux (WSL)
114,I am a developer by profession,United States of America,Bash/Shell;HTML/CSS;JavaScript;PHP;R;SQL,Windows
115,I am a developer by profession,Uruguay,Groovy;Java;JavaScript;SQL,Windows;Windows Subsystem for Linux (WSL)
116,I am a developer by profession,United States of America,Java;Python;SQL,Windows
117,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Java;JavaScript;Python,Linux-based
118,I am a developer by profession,United States of America,C#,Linux-based;Windows
119,I am learning to code,Denmark,HTML/CSS;JavaScript;SQL,Windows
120,I am a developer by profession,Finland,Bash/Shell;C;C#;JavaScript;Perl;PowerShell;Python;R;Ruby;SQL,Windows;Windows Subsystem for Linux (WSL)
121,I am a developer by profession,Canada,HTML/CSS;Java;Kotlin;SQL;TypeScript,Linux-based
122,I am a developer by profession,Sweden,Go;Java;Python,macOS
123,I am a developer by profession,Romania,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Windows Subsystem for Linux (WSL)
125,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Go;JavaScript;Python;Rust;SQL;TypeScript,macOS
126,I am a developer by profession,Israel,Assembly;C;C#;C++;Groovy;Python,Windows;Windows Subsystem for Linux (WSL)
127,I am a developer by profession,Canada,JavaScript;Python;SQL,Linux-based;Windows
128,I am a developer by profession,Brazil,HTML/CSS;JavaScript;PHP;Python;SQL,Linux-based;Windows;Windows Subsystem for Linux (WSL)
129,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C#;Python,Windows
130,I am learning to code,Portugal,Bash/Shell;C;C++;Python;Rust,Linux-based
131,I am a developer by profession,Italy,HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,Linux-based
132,I am a developer by profession,United States of America,Bash/Shell;Go;JavaScript;Python;TypeScript,Linux-based
133,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Windows
134,I am a developer by profession,United States of America,C#;JavaScript;Perl;Python;Ruby;SQL,Linux-based;macOS
135,I am a developer by profession,Brazil,HTML/CSS;JavaScript;TypeScript,Windows Subsystem for Linux (WSL)
136,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C;C++;Erlang;Go;Java;Python,macOS
137,I code primarily as a hobby,United States of America,C#;C++,Linux-based;Windows
138,I am a developer by profession,Netherlands,Java;Kotlin;Ruby,Linux-based
139,I am a developer by profession,Israel,PHP;Python;Scala,macOS
140,I am learning to code,United States of America,C#;C++;Java;JavaScript;LISP;Python,Linux-based;macOS
141,I am a developer by profession,India,HTML/CSS;JavaScript;Kotlin;TypeScript,Windows
142,I am a developer by profession,Sweden,C#;HTML/CSS;Java;JavaScript;TypeScript,Windows
143,I am a developer by profession,Singapore,C++;Julia;Python;Rust,Linux-based
144,I am a developer by profession,Uruguay,Bash/Shell;HTML/CSS;JavaScript;Python;Ruby;SQL,Linux-based;macOS
145,I am a developer by profession,Canada,Delphi;LISP;SQL,Windows
146,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C++;Go;Java;JavaScript;PHP;Rust;SQL;TypeScript,macOS
147,None of these,NA,NA,NA
148,I am a developer by profession,Austria,Java;JavaScript;Rust,Linux-based;macOS
149,I am a developer by profession,France,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,macOS
150,I am a developer by profession,Turkey,C#;HTML/CSS;SQL;TypeScript,Windows
151,I am a developer by profession,Portugal,Python,Windows;Windows Subsystem for Linux (WSL)
152,I am a developer by profession,India,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,Linux-based;Windows
153,I am a developer by profession,Oman,C;C#;C++;Dart;Java;JavaScript;Kotlin;PHP;Python;Swift,Linux-based;macOS;Windows
154,I am a developer by profession,United States of America,Go;HTML/CSS;Java;JavaScript;Python;SQL,Linux-based;macOS;Windows
156,I am a developer by profession,United States of America,C++;Go;Java;JavaScript;SQL;TypeScript,macOS
157,I am a developer by profession,Belgium,C#;HTML/CSS;JavaScript;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
158,I am learning to code,Chile,HTML/CSS;JavaScript,macOS
159,I am a developer by profession,Germany,Bash/Shell;Groovy;TypeScript,Linux-based
160,I am a developer by profession,Bulgaria,C#;HTML/CSS;JavaScript;TypeScript,Windows;Windows Subsystem for Linux (WSL)
161,I am a developer by profession,Netherlands,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python,Windows
162,I am a developer by profession,Germany,Python,Linux-based
163,I am learning to code,India,Bash/Shell;Python,macOS
164,I am a developer by profession,Ireland,Java;Python;Ruby;SQL,Linux-based
165,I am a developer by profession,United States of America,C#;JavaScript;Kotlin;SQL,macOS
166,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Go;Groovy;Java;Python,macOS
167,I am learning to code,Romania,Bash/Shell;C++;Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Linux-based
168,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C++;HTML/CSS;JavaScript;Python;R;TypeScript,Windows;Windows Subsystem for Linux (WSL)
169,I am a developer by profession,United States of America,HTML/CSS;JavaScript;Python;R;SQL;TypeScript,macOS
170,I am a developer by profession,India,Assembly;C;C++,Windows
171,I am a developer by profession,United States of America,Java;Python;TypeScript,macOS
172,I am a developer by profession,United States of America,Bash/Shell;C;Python,Linux-based;Windows;Windows Subsystem for Linux (WSL)
173,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C++;Python,macOS
175,I am a developer by profession,Italy,Assembly;Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL,Linux-based;Windows
177,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C;C++;Dart;Go;Java;JavaScript;Kotlin;Python;Rust;TypeScript,
179,I am a developer by profession,Poland,Bash/Shell;C++;HTML/CSS;Java;PHP;Python;SQL,Linux-based;Windows Subsystem for Linux (WSL)
180,I am a developer by profession,India,Go;Java;Ruby,Linux-based;Windows;Windows Subsystem for Linux (WSL)
181,I am a developer by profession,United States of America,C;C#;C++;Java;JavaScript;Perl;PHP;PowerShell;SQL;TypeScript;VBA,Windows
182,I am a developer by profession,Brazil,Java;Kotlin;Python;SQL,Linux-based
184,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Go;Java;Python;SQL,Linux-based;macOS
186,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL,macOS
187,I am a developer by profession,Germany,Bash/Shell;C;Erlang;Python;Rust;SQL,Linux-based
188,I am a developer by profession,Germany,Delphi;SQL,Windows
189,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,macOS
190,I am a developer by profession,Israel,Go,macOS
191,None of these,NA,NA,NA
192,I am a developer by profession,Greece,C#;HTML/CSS;JavaScript;SQL,Windows
193,I am a developer by profession,United States of America,Clojure;Java;Rust,Linux-based
194,I am a developer by profession,United States of America,Assembly;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;TypeScript,macOS
195,I am a developer by profession,United States of America,Bash/Shell;C;C#;C++;Go;Java;JavaScript;Python;SQL;Swift;TypeScript,Linux-based;macOS
196,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Assembly;Bash/Shell;C;C#;C++;Erlang;Go;Groovy;HTML/CSS;Java;JavaScript;Python,Linux-based;macOS
197,I am a developer by profession,India,Python;Rust;TypeScript,macOS
198,I am learning to code,United States of America,Bash/Shell;C;Clojure;Dart;Erlang;HTML/CSS;Java;JavaScript;LISP;Lua;Python;Rust;SQL;Swift;TypeScript,macOS
200,I am a developer by profession,Hong Kong (S.A.R.),Bash/Shell;Haskell;HTML/CSS;Python;Rust;SQL,Linux-based;macOS
201,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;Python,Windows
202,I am a developer by profession,Portugal,JavaScript;TypeScript,macOS;Windows
203,I am a developer by profession,Netherlands,Bash/Shell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,Linux-based;Windows Subsystem for Linux (WSL)
204,I am a developer by profession,France,Bash/Shell;Python;SQL,Linux-based
205,I am a developer by profession,United States of America,Bash/Shell;C++;Java;Python,Linux-based
206,I am a developer by profession,United States of America,C#;JavaScript;PowerShell,Windows
207,I am a developer by profession,United States of America,Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;Swift,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL)
208,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;SQL;TypeScript,Windows
209,I am a developer by profession,Belarus,C;C++;PHP;Ruby,Linux-based
211,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;TypeScript,Windows
212,I am a developer by profession,Russian Federation,Java,Windows
213,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Python;SQL,macOS
214,I am a developer by profession,Austria,C;C++;Perl;SQL,Linux-based;macOS
215,I am a developer by profession,United States of America,C;JavaScript;Python;SQL;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
216,I am a developer by profession,Belgium,C#;HTML/CSS;JavaScript;SQL,Windows
217,I code primarily as a hobby,Slovenia,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Windows
222,I am a developer by profession,Saudi Arabia,Erlang;Go;Java;JavaScript;Python;SQL,macOS
223,I am a developer by profession,United States of America,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Windows
224,I am a developer by profession,United States of America,JavaScript,Linux-based
225,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C;C++;Groovy;HTML/CSS;Java;JavaScript;Python,Windows;Windows Subsystem for Linux (WSL)
226,I am a developer by profession,United States of America,C#;SQL,Windows
229,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Windows;Windows Subsystem for Linux (WSL)
230,I am a developer by profession,United States of America,Go,Linux-based
231,None of these,NA,NA,NA
232,I am a developer by profession,Germany,Bash/Shell;C;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Linux-based
234,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript,Windows Subsystem for Linux (WSL)
235,I am a developer by profession,Brazil,Bash/Shell;Go,macOS
237,I am a developer by profession,Turkey,C#;Dart;JavaScript,Windows
238,I am a developer by profession,Canada,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Scala;SQL,macOS;Windows
239,I am a developer by profession,Netherlands,Delphi,Windows
240,I am a developer by profession,United States of America,Bash/Shell;Go;HTML/CSS;Python;SQL,Linux-based;macOS
241,I am learning to code,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Python;Ruby;SQL;VBA,Windows
244,I am a developer by profession,Germany,Bash/Shell;C;Java;Python,Linux-based;Windows
247,I am a developer by profession,United States of America,Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,Linux-based;macOS
248,I am a developer by profession,United States of America,C#;C++;HTML/CSS;JavaScript;SQL;Swift;TypeScript,Windows
250,I am learning to code,Austria,Python,Windows;Windows Subsystem for Linux (WSL)
251,I am a developer by profession,United States of America,C++;HTML/CSS;JavaScript;PHP;Python,Windows
252,I am a developer by profession,France,C++;HTML/CSS;Python;Rust;SQL,Linux-based
254,I am a developer by profession,Netherlands,C#;HTML/CSS;Java;JavaScript;TypeScript,Windows
255,I am a developer by profession,Canada,Bash/Shell;Go;Groovy;Java;Python;Ruby,Linux-based
256,I am a developer by profession,Sweden,Assembly;C;C++,Other (please specify):
257,I am a developer by profession,Israel,Bash/Shell;Go;JavaScript;Python,macOS
258,I am a developer by profession,Portugal,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;SQL;TypeScript,BSD;Linux-based;Windows;Windows Subsystem for Linux (WSL)
259,I am a developer by profession,Poland,C;Haskell;JavaScript;Python;Rust;SQL,Linux-based
260,I am a developer by profession,Israel,Clojure;Python;Ruby;Scala,macOS
261,I am a developer by profession,Sweden,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Windows;Windows Subsystem for Linux (WSL)
262,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;SQL;VBA,Windows
264,I am a developer by profession,Germany,C;C++;Python;Rust;SQL,Linux-based
265,I am a developer by profession,Israel,Bash/Shell;Java;Python;Scala;SQL,macOS
266,I am a developer by profession,United States of America,Bash/Shell;Groovy;Java;JavaScript;PHP;Python;Rust;SQL,Linux-based
267,I am a developer by profession,Czech Republic,C;C#;C++;Go;Python;Rust,Linux-based;Windows;Windows Subsystem for Linux (WSL)
268,I am a developer by profession,Poland,Bash/Shell;JavaScript;Python;SQL;TypeScript,Linux-based
269,I am a developer by profession,Kenya,HTML/CSS;JavaScript;Python,Windows
270,I am a developer by profession,United States of America,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
271,I am learning to code,Switzerland,C;C++;HTML/CSS;Java;JavaScript;Python,Linux-based;Windows;Windows Subsystem for Linux (WSL)
272,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;Go;HTML/CSS;JavaScript,macOS
273,I am a developer by profession,Switzerland,C#;Dart;Go;Java;Kotlin;Python;Rust;SQL;TypeScript,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL)
274,I am a developer by profession,United States of America,Bash/Shell;C;C#;C++;Java;PowerShell,Linux-based;Windows
275,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;Delphi;HTML/CSS;PowerShell;Python;Ruby;SQL;TypeScript,Linux-based;macOS
276,I am a developer by profession,Israel,C#;HTML/CSS;JavaScript;SQL,Linux-based;Windows
277,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;SQL,macOS
278,I am a developer by profession,Netherlands,Bash/Shell;HTML/CSS;JavaScript;Python;R;SQL,Windows
279,I am a developer by profession,United States of America,C#;JavaScript;Python,Windows
280,I am a developer by profession,Brazil,C#;HTML/CSS;JavaScript;TypeScript,macOS
281,I am a developer by profession,United States of America,Bash/Shell;C++;Java;Python,Windows
282,I am a developer by profession,United States of America,C#;Go;Rust;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
283,I am a developer by profession,Netherlands,Assembly;C++;Python;Rust,Linux-based
285,I am a developer by profession,Italy,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript;VBA,Linux-based;Windows;Windows Subsystem for Linux (WSL)
287,I am a developer by profession,United States of America,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Windows
288,I am a developer by profession,Germany,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,macOS
289,I am a developer by profession,United States of America,C;JavaScript;Python;Scala,Linux-based;macOS
290,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Assembly;Bash/Shell;C++;F#;JavaScript;Lua;Rust,Linux-based
291,I am a developer by profession,United States of America,C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Windows
292,I am a developer by profession,India,C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Linux-based
293,I am a developer by profession,Sweden,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Linux-based
294,I am a developer by profession,Germany,Bash/Shell;C#;C++;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Linux-based;Windows;Windows Subsystem for Linux (WSL)
295,I am a developer by profession,France,HTML/CSS;JavaScript;Python;SQL,Windows
296,I am a developer by profession,France,Bash/Shell;Elixir;Go;Java;JavaScript;PHP;Rust;SQL,Linux-based
297,I am a developer by profession,Canada,Bash/Shell;Python,Linux-based
298,I am a developer by profession,Canada,Bash/Shell;Go;HTML/CSS;JavaScript;SQL,Linux-based
299,I am a developer by profession,Poland,C;C++,Linux-based;macOS;Windows
300,I am a developer by profession,United States of America,C#;C++;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;Ruby;SAS;SQL;TypeScript;VBA,Windows;Windows Subsystem for Linux (WSL)
301,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,JavaScript;Python,Linux-based
302,I am a developer by profession,India,Dart,Linux-based;macOS
303,I am a developer by profession,United States of America,HTML/CSS;JavaScript;Python;TypeScript,macOS
305,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PHP;Ruby;SQL,Windows
306,I am a developer by profession,United States of America,C#;HTML/CSS;Java;JavaScript;Python;SQL,Linux-based;macOS
308,I am a developer by profession,United States of America,Bash/Shell;C#;Go;HTML/CSS;JavaScript;PowerShell;Python,Linux-based;macOS
309,I am a developer by profession,United States of America,Go;Python;SQL,Linux-based;macOS
310,I am a developer by profession,Czech Republic,C#;HTML/CSS;JavaScript;Python,Windows
311,I am a developer by profession,United States of America,Python;Rust,macOS
312,I am a developer by profession,Spain,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;VBA,Windows;Windows Subsystem for Linux (WSL)
313,I am a developer by profession,United States of America,HTML/CSS;JavaScript;PHP;TypeScript,macOS
314,I am a developer by profession,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Windows
316,I am a developer by profession,United States of America,Bash/Shell;Go;Python,macOS
317,I am a developer by profession,United States of America,HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,Linux-based;macOS
318,I am a developer by profession,United States of America,Bash/Shell;C#;PowerShell;SQL,Windows
319,I am a developer by profession,Latvia,Dart;Kotlin;Python;Ruby;Swift;TypeScript,macOS
320,I code primarily as a hobby,France,Rust;VBA,macOS;Windows
322,I am a developer by profession,Belgium,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Rust;SQL,Windows
323,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;Erlang;Go;Groovy;Java;JavaScript;Lua;Python;Ruby,macOS
324,I am a developer by profession,Austria,Bash/Shell;Clojure;Java;SQL,Windows
325,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C;C++;Java;JavaScript;LISP;Objective-C;Python,macOS
326,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,C;C#;C++;Crystal;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;TypeScript,macOS
327,I am a developer by profession,Germany,C#;C++;Python;Rust,Linux-based
